"Код 
исследования",Наименование исследования,Используемый  материал,Результат исследования,Срок* (рабочие дни) ,Возможность срочного выполнения,Цена,Описание,Подготовка,Клиническая информация,Интерпритация результатов
,ГЕМАТОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,,,,,,,
"10,000",Клинический анализ крови (общий анализ крови+СОЭ+лейкоцитарная формула) ©,цельная кровь (ЭДТА),кол,1,,"500,00",,,,
"10,001","Клинический анализ крови (общий анализ крови, лейкоцитарная формула) ©",цельная кровь (ЭДТА),кол,1,,"500,00",,,,
"10,002","Клинический анализ крови (общий анализ крови, лейкоцитарная формула (с микроскопией мазка крови при наличии патологических сдвигов, СОЭ), капиллярная кровь ©",капиллярная кровь ЭДТА,кол,1,,"645,00",,,,
"10,003","Клинический анализ крови с лейкоцитарной формулой (общий анализ крови, лейкоцитарная формула), капиллярная кровь",капиллярная кровь ЭДТА,кол,1,,"500,00",,,,
"10,100",Общий анализ крови  ©,цельная кровь (ЭДТА),кол,1,,"500,00",,,,
"10,101","Общий анализ крови, капиллярная кровь",капиллярная кровь ЭДТА,кол,1,,"500,00",,,,
"10,105",Лейкоцитарная формула (микроскопия) ©,цельная кровь (ЭДТА),кол,1,,"250,00",,,,
"10,109",Подсчет ретикулоцитов (автоматизированный метод) ©,цельная кровь (ЭДТА),кол,1,,"350,00",,,,
"10,111",Подсчет тромбоцитов по Фонио,цельная кровь (ЭДТА),кол,1,,"340,00",,,,
"10,112",Подсчет атипичных мононуклеаров,цельная кровь (ЭДТА),кол,1,,"300,00",,,,
"10,135",СОЭ (автоматизированный метод микрофотометрии) ©,цельная кровь (ЭДТА),кол,1,,"190,00",,,,
"10,140",Карбоксигемоглобин,цельная кровь (ЭДТА),кол,1,,"680,00",,,,
"10,145",Метгемоглобин,цельная кровь (ЭДТА),кол,1,,"680,00",,,,
"10,150",Базофильная зернистость эритроцитов,цельная кровь (ЭДТА),кол,1,,"300,00",,,,
"39,325",LE-клетки,цельная кровь (ЭДТА),кол,1,,"450,00",,,,
"10,125",Исследование пунктата костного мозга (миелограмма),пунктат костного мозга,кол+заключение,3,,"4050,00",,,,
,ИЗОСЕРОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,,,,,,,
"11,110",Антигены системы Kell,цельная кровь (ЭДТА),кач,1,,"1620,00",,,,
"11,113","Определение наличия антигенов эритроцитов C, c, E, e, K",цельная кровь (ЭДТА),кач,1,,"920,00",,,,
"11,115",Антитела к антигенам эритроцитов (прямая реакция Кумбса),цельная кровь (ЭДТА),полукол,1,,"1600,00",,,,
"11,120",Антитела к резус-фактору (непрямая реакция Кумбса),цельная кровь (ЭДТА),полукол,1,,"1500,00",,,,
"11,125",Группа крови  и резус-фактор ©,цельная кровь (ЭДТА),кач,1,,"610,00",,,,
"11,114","Антирупповые антитела с эритроцитами мужа (группа крови мужа, антитела к эритроцитам мужа)",муж-кровь с ЭДТА; жен-кровь (сывор.),заключение,7,,"1000,00",,,,
"11,130",Антитела по системе AB0,цельная кровь (ЭДТА),полукол,15,,"1500,00",,,,
,КОАГУЛОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,,,,,,,
"27,100","Протромбин по Квику, Протромбиновый индекс + МНО ©",кровь (плазма-цитрат),кол,1,,"230,00",,,,
"27,105",Тромбиновое время ©,кровь (плазма-цитрат),кол,1,,"240,00",,,,
"27,110",Фибриноген ©,кровь (плазма-цитрат),кол,1,,"240,00",,,,
"27,115",АЧТВ ©,кровь (плазма-цитрат),кол,1,,"170,00",,,,
"27,120",Антитромбин III ©,кровь (плазма-цитрат),кол,1,,"380,00",,,,
"27,130",D -Димер ©,кровь (плазма-цитрат),кол,1,,"1100,00",,,,
"27,135",Протеин S,кровь (плазма-цитрат),кол,11,,"2850,00",,,,
"27,140",Протеин С,кровь (плазма-цитрат),кол,7,,"1950,00",,,,
"27,145",Волчаночный антикоагулянт,кровь (плазма-цитрат),кол,5,,"840,00",,,,
"27,195",Фактор Виллебранда,кровь (плазма-цитрат),кол,5,,"1500,00",,,,
"27,205",РКФМ (растворимые комплексы фибрин-мономеров),кровь (плазма-цитрат),кол,1,,"230,00",,,,
"27,209",Агрегация тромбоцитов с индуктором АДФ,кровь (плазма-цитрат)-2 пробирки,кол,1,,"0,00",,,,
"27,211",Агрегация тромбоцитов с индуктором Эпинефрин,кровь (плазма-цитрат)-2 пробирки,кол,1,,"0,00",,,,
"27,212",Агрегация тромбоцитов с индуктором Коллаген,кровь (плазма-цитрат)-2 пробирки,кол,1,,"0,00",,,,
"27,213",Агрегация тромбоцитов с индуктором Ристоцетин,кровь (плазма-цитрат)-2 пробирки,кол,1,,"0,00",,,,
"27,214",Агрегация тромбоцитов с индуктором Арахидоновая кислота,кровь (плазма-цитрат)-2 пробирки,кол,1,,"0,00",,,,
"27,216","Агрегация тромбоцитов с индукторами АДФ, Эпинефрин, Коллаген, Ристоцетин, Арахидоновая кислота (комплекс)",кровь (плазма-цитрат)-4 пробирки,кол,1,,"0,00",,,,
"27,200",Плазминоген,кровь (плазма-цитрат),кол,6,,"900,00",,,,
"27,165",Фактор свертывания VIII (Антигемофильный глобулин ),Замороженная аликвота!!! -плазма цитрат,кол,7,,"1500,00",,,,
"27,170",Фактор свертывания IХ ,Замороженная аликвота!!! -плазма цитрат,кол,7,,"1500,00",,,,
"27,220","Анти-Ха активность (Гепарин, концентрация)",кровь (плазма-цитрат),кол,10,,"3780,00",,,,
,ОБЩЕКЛИНИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,,,,,,,
,Исследование мочи,,,,,,,,,
"12,100",Общий анализ мочи ©,моча,заключение,1,,"300,00",,,,
"12,105",Анализ мочи по Зимницкому ©,моча,кол,1,,"350,00",,,,
"12,110",Анализ мочи по Нечипоренко ©,моча,кол,1,,"340,00",,,,
"12,111",Проба Сулковича,моча,полукол,1,,"350,00",,,,
"12,121",Химический анализ мочевого камня,моча,кол,4,,"4000,00",,,,
"12,122",Литос-тест,моча,кол,5,,"1100,00",,,,
"12,115",3-х стаканная проба ©,моча,кол,1,,"1090,00",,,,
"12,116",2-х стаканная проба ©,моча,кол,1,,"710,00",,,,
"12,120",Анализ мочи на микобактерии туберкулеза,моча,кач,1,,"500,00",,,,
,Исследование отделяемого верхних дыхательных путей,,,,,,,,,
"12,124",Мазок из носа на эозинофилы,мазок,кач,1,,"450,00",,,,
"12,167",Общеклиническое исследование назального секрета ( риноцитограмма),назальный секрет,заключение,1,,"450,00",,,,
,Микроскопические исследования отделяемого мочеполовых органов,,,,,,,,,
"12,166",Общеклиническое исследование отделяемого женских мочеполовых органов   1  точка  (женский мазок 1 точка)©,"мазок из уретры, цервикального канала, влагалища",заключение,1,,"300,00",,,,
"12,170",Общеклиническое исследование отделяемого женских мочеполовых органов  3 точки  (женский мазок 3 точки) ©,"мазок из уретры, цервикального канала, влагалища",заключение,1,,"400,00",,,,
"12,175",Общеклиническое исследование отделяемого женских мочеполовых органов 2  точки  (женский мазок 2 точки)©,"мазок из уретры, цервикального канала, влагалища",заключение,1,,"400,00",,,,
"12,176","Общеклиническое исследование отделяемого мочеполовых органов (2 точки) (уретра, влагалище)","мазок из уретры, влагалища",заключение,1,,"400,00",,,,
"12,180",Общеклиническое исследование сока предстательной железы  ©,сок предстательной железы,заключение,1,,"300,00",,,,
"12,181",Общеклиническое исследование отделяемого уретры (мужской мазок) ©,мазок из уретры,заключение,1,,"300,00",,,,
"12,182",Общеклиническое исследование мазка-отпечатка с головки полового члена,мазок,заключение,1,,"300,00",,,,
,Исследование эякулята,,,,,,,,,
"12,196",MAR-тест (Определение антиспермальных антител класса IgG в эякуляте),эякулят,кол,1,,"1600,00",,,,
"12,197",MAR-тест (Определение антиспермальных антител класса IgA в эякуляте),эякулят,кол,1,,"1600,00",,,,
03.026,Спермограмма - базовый вариант,эякулят,заключение,,,"2200,00",,,,
03.028,"Биохимия эякулята (фруктоза, фруктолиз, лимонная к-та, цинк)",эякулят,кол,7,,"2000,00",,,,
03.032,Фрагментация ДНК сперматозоидов (метод дисперсии хроматина),эякулят,заключение,7,,"4400,00",,,,
03.033,Антиспермальные антитела (метод латексной агглютинации),эякулят,заключение,1,,"2500,00",,,,
03.036,Связывание с гиалуроновой кислотой (индекс зрелости),эякулят,заключение,1,,"1650,00",,,,
03.037,Морфология по Кюгеру,эякулят,кол,7,,"1650,00",,,,
03.038,Концентрация лейкоцитов в сперме,эякулят,кол,1,,"450,00",,,,
03.039,Тест на зрелость хроматина (метиленовый синий),эякулят,заключение,3,,"450,00",,,,
,Исследование на микозы и демодекоз,,,,,,,,,
"12,200",Исследование на демодекоз ©,"ресницы, содержимое розовых угрей, соскоб кожи ",кач,1,,"400,00",,,,
"12,205",Исследование ногтевых пластинок на грибы,ногтевые пластинки,кач,2,,"500,00",,,,
"12,210",Исследование соскобов кожи на грибы,соскоб кожи,кач,2,,"500,00",,,,
"12,215",Исследование волос на грибы,волосы (эппендорф),кач,2,,"500,00",,,,
"12,216",Исследование кожи и ногтевых пластинок на поверхностные микозы,соскоб,кач,2,,"500,00",,,,
,Исследование синовиальной жидкости,,,,,,,,,
"12,155",Общеклиническое исследование синовиальной жидкости,синовиальная жидкость,кач,1,,"700,00",,,,
"12,156",Выявление кристаллов монурата натрия и пирофосфата кальция  в синовиальной жидкости,синовиальная жидкость,кач,3,,"2200,00",,,,
,Исследование кала,,,,,,,,,
"13,100",Общий анализ кала  (копрограмма) ©,кал,заключение,1,,"400,00",,,,
"13,105",Панкреатическая эластаза 1,кал,кол,10,,"3000,00",,,,
"13,110",Углеводы в кале,кал,кол,1,,"800,00",,,,
"13,115",Исследование кала на скрытую кровь ©,кал,кач,1,,"480,00",,,,
"13,116",Скрытая кровь (гемоглобин) + трансферрин в кале,кал,кач,2,,"1000,00",,,,
"13,117","Определение скрытой крови в кале, количественный иммунохимический метод FOB Gold",кал,кол,5,,"1350,00",,,,
"13,120",Исследование кала на простейшие и яйца гельминтов ©,кал,кач,1,,"500,00",,,,
"13,125",Исследование на энтеробиоз ©,соскоб с перианальных складок,кач,1,,"300,00",,,,
"13,130",Исследование кала на простейшие и яйца гельминтов системой ПАРАСЕП,кал,кач,1,,"510,00",,,,
"13,150",Кальпротектин,кал,кол,10,,"3500,00",,,,
,Исследование мокроты и плевральной жидкости,,,,,,,,,
"12,125",Общеклиническое исследование мокроты,мокрота,заключение,1,,"480,00",,,,
"12,130",Анализ мокроты на микобактерии туберкулеза,мокрота,кач,1,,"480,00",,,,
"12,135",Общеклиническое исследование плевральной жидкости,плевральная жидкость,заключение,1,,"500,00",,,,
"12,136",Клинический анализ выпотных жидкостей (экссудатов и транссудатов),экссудат,заключение,1,,"500,00",,,,
"12,140",Анализ плевральной жидкости на микобактерии туберкулеза,плевральная жидкость,кач,1,,"500,00",,,,
,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,,,,,,,,,
,Обмен белков,,,,,,,,,
"16,100",Альбумин ©,кровь (сыворотка),кол,1,,"230,00",,,,
"16,110",Креатинин ©,кровь (сыворотка),кол,1,,"160,00",,,,
"16,111",Креатинин в сыворотке (с определением СКФ),кровь (сыворотка),кол,1,,"255,00",,,,
"16,115",Мочевина ©,кровь (сыворотка),кол,1,,"160,00",,,,
"16,120",Мочевая кислота ©,кровь (сыворотка),кол,1,,"170,00",,,,
"16,125",Общий белок ©,кровь (сыворотка),кол,1,,"170,00",,,,
"16,130",Белковые фракции методом электрофореза,кровь (сыворотка),кол,4,,"510,00",,,,
"16,150",Иммуноэлектрофорез белков сыворотки крови,кровь (сыворотка),кол,13,,"3400,00",,,,
,Специфические белки,,,,,,,,,
"17,100",Альфа-1-антитрипсин,кровь (сыворотка),кол,4,,"1240,00",,,,
"17,105",Антистрептолизин-О ©,кровь (сыворотка),кол,1,,"370,00",,,,
"17,110",Альфа-1-кислый гликопротеин,кровь (сыворотка),кол,3,,"2600,00",,,,
"17,115",Гаптоглобин,кровь (сыворотка),кол,6,,"900,00",,,,
"17,125",Миоглобин,кровь (сыворотка),кол,3,,"1880,00",,,,
"17,130",Тропонин I,кровь (сыворотка),кол,3,,"1300,00",,,,
"17,140",Ревматоидный фактор ©,кровь (сыворотка),кол,1,,"370,00",,,,
"17,155",С-реактивный белок ©,кровь (сыворотка),кол,1,,"270,00",,,,
"17,160",С-реактивный белок ультрачувствительный ©,кровь (сыворотка),кол,1,,"400,00",,,,
"17,161",Прокальцитонин,кровь (сыворотка),кол,1,,"2000,00",,,,
"17,165",Церулоплазмин,кровь (сыворотка),кол,3,,"850,00",,,,
"17,167",Цистатин С,кровь (сыворотка),кол,3,,"2400,00",,,,
"17,170",Альфа-2-Макроглобулин,кровь (сыворотка),кол,4,,"980,00",,,,
"19,150",Мозговой натрийуретический пропептид (Nt-proBNP),кровь (сыворотка),кол,3,,"2700,00",,,,
03.001,Натрийуретический пропептид типа В (BNP),кровь (сыворотка),кол,1,,"2700,00",,,,
03.045,Тимоловая проба,кровь (сыворотка),кол,1,,"400,00",,,0,
"17,190",Свободные легкие цепи иммуноглобулинов в сыворотке крови,кровь (сыворотка),кол,14,,"1800,00",,,,
,Обмен углеводов,,,,,,,,,
"18,100",Глюкоза ©,кровь (сыворотка),кол,1,,"150,00",,,,
"18,111",Глюкоза F ©,Кровь (фторид натрия) ,кол,1,,"150,00",,,,
"18,101",Глюкозотолерантный тест,кровь (сыворотка)- 2 пробирки (натощак/с нагрузкой),кол,1,,"730,00",,,,
"18,102",Глюкоза через 60 минут после нагрузки (75 г глюкозы) ,Кровь (фторид натрия) 60 мин ,кол,1,,"250,00",,,,
"18,106",Глюкоза через 120 минут после нагрузки (75 г глюкозы) ,Кровь (фторид натрия) 120 мин ,кол,1,,"250,00",,,,
"18,103",Глюкозотолерантный тест при беременности,Кровь (фторид натрия) 3 пробирки (натощак/с нагрузкой 60/ с нагрузкой 120,кол,1,,"770,00",,,,
"18,104",Глюкозотолерантный тест расширенный (с определением глюкозы и С-пептида в венозной крови натощак и после нагрузки через 2 часа),"Кровь (фторид натрия) 2 пробирки (натощак/с нагрузкой 120), Кровь (сыворотка) 2 пробирки (натощак/с нагрузкой 120)",кол,3,,"1500,00",,,,
"18,105",Гликозилированный гемоглобин ©,цельная кровь (ЭДТА),кол,1,,"450,00",,,,
"18,110",Фруктозамин,кровь (сыворотка),кол,5,,"600,00",,,,
"18,115",Лактат ©,Кровь (фторид натрия) ,кол,1,,"650,00",,,,
,Обмен липопротеинов,,,,,,,,,
"19,100",Аполипопротеин А1,кровь (сыворотка),кол,3,,"540,00",,,,
"19,105",Аполипопротеин В,кровь (сыворотка),кол,3,,"540,00",,,,
"19,110",Гомоцистеин,кровь с апротинином,кол,7,,"1280,00",,,,
"19,115",Липопротеин (а),кровь (сыворотка),кол,4,,"1250,00",,,,
"19,120",Триглицериды ©,кровь (сыворотка),кол,1,,"190,00",,,,
"19,130",Холестерин общий ©,кровь (сыворотка),кол,1,,"200,00",,,,
"19,135",Холестерин-ЛПНП (липопротеины низкой плотности) ©,кровь (сыворотка),кол,1,,"200,00",,,,
"19,140",Холестерин-ЛПВП (липопротеины высокой плотности) ©,кровь (сыворотка),кол,1,,"220,00",,,,
"19,141",Индекс атерогенности (индекс атерогенности+холестерин общий+холестерин ЛПВП) ©,кровь (сыворотка),кол,1,,"260,00",,,,
"19,145",Холестерин-ЛПОНП (липопротеины очень низкой плотности) ©,кровь (сыворотка),кол,1,,"480,00",,,,
,Обмен пигментов,,,,,,,,,
"20,100",Билирубин общий ©,кровь (сыворотка),кол,1,,"190,00",,,,
"20,105",Билирубин прямой ©,кровь (сыворотка),кол,1,,"190,00",,,,
"20,115",Билирубин непрямой © (билирубин общий + прямой + непрямой) ©,кровь (сыворотка),кол,1,,"340,00",,,,
,Ферменты,,,,,,,,,
"21,100",Аланиновая трансаминаза (АЛТ)  ©,кровь (сыворотка),кол,1,,"190,00",,,,
"21,105",Аспарагиновая трансаминаза (АСТ ) ©,кровь (сыворотка),кол,1,,"190,00",,,,
"21,110",Альфа-амилаза ©,кровь (сыворотка),кол,1,,"230,00",,,,
"21,115",Альфа-амилаза панкреатическая ©,кровь (сыворотка),кол,1,,"270,00",,,,
"21,120",Гамма-глутамилтранспептидаза (гамма-ГТ) ©,кровь (сыворотка),кол,1,,"190,00",,,,
"21,130",Лактатдегидрогеназа (ЛДГ) ©,кровь (сыворотка),кол,1,,"190,00",,,,
"21,135",Гидроксибутиратдегидрогеназа (ЛДГ-1-2),кровь (сыворотка),кол,4,,"210,00",,,,
"21,140",Липаза ©,кровь (сыворотка),кол,1,,"300,00",,,,
"21,145",Креатинкиназа © (КФК),кровь (сыворотка),кол,1,,"220,00",,,,
"21,150",Креатинкиназа-МВ © (КФК-МВ),кровь (сыворотка),кол,1,,"850,00",,,,
"21,155",Псевдохолинэстераза ©,кровь (сыворотка),кол,1,,"300,00",,,,
"21,160",Щелочная фосфатаза ©,кровь (сыворотка),кол,1,,"190,00",,,,
"21,165",Фосфатаза кислая,кровь (сыворотка),кол,3,,"600,00",,,,
"21,170",Ангиотензинпревращающий фермент (АПФ),кровь (сыворотка),кол,13,,"2700,00",,,,
,Диагностика заболеваний желудочно-кишечного тракта,,,,,,,,,
"21,175",Пепсиноген I (PG I),кровь (сыворотка),кол,7,,"1650,00",,,,
"21,180",Пепсиноген II (PG II),кровь (сыворотка),кол,7,,"5250,00",,,,
"21,181",Пепсиногены  I и II с расчетом соотношения,кровь (сыворотка),кол,7,,"1800,00",,,,
"21,185",Гастрин,кровь (сыворотка),кол,10,,"900,00",,,,
"93,466","Гастропанель с белковой нагрузкой и заключением (H.pylory, гастрин 17 базальный, гастрин 17 стимулированный, пепсиноген I, пепсиноген II, пепсиноген I/пепсиноген II) ",замороженная аликвота (плазма ЭДТА) 2 пробирки до нагрузки+замороженная аликвота (плазма ЭДТА) 2 пробирки после белковой нагрузки,заключение,15,,"9100,00",,,,
"93,447","Гастропанель с заключением (H.pylory, гастрин 17 базальный, пепсиноген I, пепсиноген II, пепсиноген I/пепсиноген II) ",замороженная аликвота (плазма ЭДТА) 2 пробирки ,заключение,15,,"5600,00",,,,
,Электролиты,,,,,,,,,
"22,100",Калий+/ Натрий+ / Хлор-  ©,кровь (сыворотка),кол,1,,"340,00",,,,
"22,105",Кальций общий ©,кровь (сыворотка),кол,1,,"190,00",,,,
"22,110",Кальций ионизированный ©,кровь (сыворотка),кол,1,,"390,00",,,,
"22,115",Фосфор ©,кровь (сыворотка),кол,1,,"210,00",,,,
"22,120",Магний ©,кровь (сыворотка),кол,1,,"240,00",,,,
"22,125",Медь,кровь (сыворотка),кол,3,,"650,00",,,,
"22,130",Цинк,кровь (сыворотка),кол,3,,"570,00",,,,
"22,140",Калий+ ©,кровь (сыворотка),кол,1,,"190,00",,,,
"22,145",Натрий+ ©,кровь (сыворотка),кол,1,,"190,00",,,,
"22,150",Хлор- ©,кровь (сыворотка),кол,1,,"190,00",,,,
,Обмен железа,,,,,,,,,
"23,100",Железо ©,кровь (сыворотка),кол,1,,"190,00",,,,
"23,105",Общая железосвязывающая способность сыворотки © (ОЖСС),кровь (сыворотка),кол,1,,"320,00",,,,
"23,106",Железо +ОЖСС,кровь (сыворотка),кол,1,,"400,00",,,,
"23,107",Латентная железосвязывающая способность сыворотки ©,кровь (сыворотка),кол,1,,"200,00",,,,
"23,110",Трансферрин ©,кровь (сыворотка),кол,1,,"440,00",,,,
"23,111",Коэффициент насыщения трансферрина железом ©,кровь (сыворотка),кол,1,,"970,00",,,,
"23,115",Ферритин ©,кровь (сыворотка),кол,1,,"550,00",,,,
,Витамины,,,,,,,,,
"24,100",Витамин В12 (цианокобаламин),кровь (сыворотка),кол,1,,"700,00",,,,
"24,105",Витамин В9 (фолиевая кислота),кровь (сыворотка),кол,1,,"850,00",,,,
03.003,Витамин D 25-OH метод ИХЛ©,кровь (сыворотка),кол,1,,"1550,00",,,,
"24,205","1,25-дигидроксивитамин D3 (1,25 дигидроксихолекальциферол, кальцитриол), метаболит витамина D3, ВЭЖХ-МС/МС",кровь (сыворотка),кол,6,,"2600,00",,,,
,Катехоламины,,,,,,,,,
"24,225","Катехоламины: адреналин, норадреналин, дофамин",цельная кровь (ЭДТА),кол,5,,"2400,00",,,,
"24,230","Катехоламины: адреналин, норадреналин, дофамин и серотонин",кровь (сыворотка) + цельная кровь (ЭДТА),кол,5,,"2700,00",,,,
"24,231",Серотонин,кровь (сыворотка),кол,5,,"2200,00",,,,
,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ МОЧИ,,,,,,,,,
,Моча разовая,,,,,,,,,
"40,100",Глюкоза  ©,моча (разовая порция),кол,1,,"150,00",,,,
"40,110",Общий белок  ©,моча (разовая порция),кол,1,,"170,00",,,,
"40,119",Альбумин-креатининовое соотношение (альбумин в разовой порции мочи),моча (разовая порция),кол,1,,"630,00",,,,
"40,125",Альфа-амилаза  ©,моча (разовая порция),кол,1,,"230,00",,,,
"40,130",Альфа-амилаза панкреатическая ©,моча (разовая порция),кол,1,,"260,00",,,,
"40,230",Дезоксипиридинолин (ДПИД),моча (разовая порция),кол,4,,"2000,00",,,,
,Моча суточная (обязательно указание суточного диуреза),,,,,,,,,
"40,105",Глюкоза  ©,моча суточная,кол,1,,"170,00",,,,
"40,115",Общий белок  ©,моча суточная,кол,1,,"170,00",,,,
"40,116","Белок Бенс-Джонса в моче, скрининг с применением иммунофиксации",моча суточная,кол,13,,"2400,00",,,,
"40,118",Альфа-амилаза в суточной моче,моча суточная,кол,1,,"230,00",,,,
"40,120",Альбумин (Микроальбуминурия) ©,моча суточная,кол,1,,"460,00",,,,
"40,135",Креатинин  ©,моча суточная,кол,1,,"170,00",,,,
"40,140",Проба Реберга (клиренс эндогенного креатинина) ©,моча суточная + кровь (сыворотка),кол,1,,"240,00",,,,
"40,145",Мочевина  ©,моча суточная,кол,1,,"170,00",,,,
"40,150",Мочевая кислота  ©,моча суточная,кол,1,,"180,00",,,,
"40,155",Оксалаты в моче ©,моча суточная,кол,7,,"1500,00",,,,
"40,160",Калий+ / Натрий+ / Хлор-  ©,моча суточная,кол,1,,"500,00",,,,
"40,165",Кальций ©,моча суточная,кол,1,,"210,00",,,,
"40,170",Фосфор ©,моча суточная,кол,1,,"210,00",,,,
"40,175",Магний  ©,моча суточная,кол,1,,"300,00",,,,
,Гормоны и их метаболиты в суточной моче (обязательно указание суточного диуреза),,,,,,,,,
"40,180",Кортизол,моча суточная,кол,3,,"1200,00",,,,
"40,185",Свободный кортизол,моча суточная,кол,4,,"1100,00",,,,
"40,245",17-кетостероиды (17-КС),моча суточная,кол,7,,"2200,00",,,,
"40,280","Катехоламины: адреналин, норадреналин, дофамин",моча суточная,кол,7,,"2500,00",,,,
"40,285","Метаболиты катехоламинов: ГВК, ВМК, 5-ОИУК",моча суточная,кол,7,,"3000,00",,,,
"40,286","Катехоламины мочи и их метаболиты (А, НА, дофамин, ВМК, ГВК, 5-ГИУК)",моча суточная,кол,7,,"4700,00",,,,
"40,290","Промежуточные метаболиты катехоламинов: метанефрин, норметанефрин",моча суточная,кол,7,,"2900,00",,,,
"40,195",Метанефрины общие (свободные и связанные) в суточной моче,моча суточная,кол,5,,"6150,00",,,,
"40,205",Норметанефрины (свободные и связанные) в моче,моча суточная,кол,5,,"6150,00",,,,
"40,206",Свободные метанефрины и норметанефрины мочи,моча суточная,кол,6,,"3300,00",,,,
